類別編號,搜尋關鍵字,城市,景點名稱,Google 星級,評論數,地址
F1,密室逃脫,基隆市,必應創造展演空間,5.0,43,202基隆市中正區中正路103號
F1,密室逃脫,基隆市,ANIVERSE KEELUNG（漫遊者：實境體感基地）,4.5,364,200基隆市仁愛區港西街5號1樓
F1,卡丁車,基隆市,湯姆熊歡樂世界 基隆東岸店,3.5,381,200基隆市仁愛區仁二路236號
F1,卡丁車,基隆市,人間亞人電腦維修中心,4.9,70,205基隆市暖暖區東勢街18號
F1,潛水中心,基隆市,潮海致境潛水中心,5.0,161,202301基隆市中正區北寧路396巷6號
F1,潛水中心,基隆市,Sea Level 海平面自由潛水工作室,5.0,135,20249基隆市中正區漁港三街152號
F1,潛水中心,基隆市,純潛水Pure Dive｜基隆基地,5.0,62,202基隆市中正區正榮街59-1號1樓
F1,潛水中心,基隆市,揪潛水,4.4,108,202基隆市中正區北寧路424號
F1,潛水中心,基隆市,藍波潛水用品店,4.9,281,203基隆市中山區文化路100號
F1,水上摩托車,基隆市,水行俠-水上自行車/象鼻岩/SUP/獨木舟/基隆必玩,4.9,88,基隆市中正區202
F2,國家公園,基隆市,基隆地標公園,4.2,1107,203基隆市中山區中山一路217巷95-1號
F2,國家公園,基隆市,潮境公園,4.4,17800,202基隆市中正區北寧路369巷61號
F2,國家公園,基隆市,國立海洋科技博物館,4.2,21132,202基隆市中正區北寧路367號
F2,國家公園,基隆市,和平島地質公園,4.4,24663,202基隆市中正區平一路360號
F2,國家公園,基隆市,中正公園,4.1,5598,202基隆市中正區壽山路
F2,國家公園,基隆市,海門公園,3.7,48,202基隆市中正區
F2,國家公園,基隆市,基隆市中正公園國民廣場,4.3,44,221基隆市中正區中正路
F2,國家公園,基隆市,役政公園,4.0,436,201基隆市信義區壽山路
F2,國家公園,基隆市,基隆嶼,4.6,479,202基隆市中正區基隆 嶼
F2,國家公園,基隆市,望幽 谷,4.5,9412,202基隆市中正區
F2,國家公園,基隆市,外木山濱海風景區,4.4,10458,203基隆市中山區湖海路一段
